year,tree,species,z,x_coord,y_coord,dbh_cm,height_m,notes,model_ht,site,species_matched,wood_density,agb,circ,calcDBH,in book,fork,forked,latitude.x,longitude.x,x_inverted,y_inverted,latitude.y,longitude.y,prec_90m
2018,1,Eucalyptus_cullenii,NA,1.2,46.5,32.5,15,NA,11.288748126437046,station_creek,Eucalyptus cullenii,0.9771175,0.8265412300301462,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,2,Eucalyptus_cullenii,NA,4.5,46.2,43.2,14,NA,11.955819793824372,station_creek,Eucalyptus cullenii,0.9771175,1.3467542952286138,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,3,Acacia_disparrima,subsp.,6.2,42.5,20.9,9.5,NA,8.645594327177324,station_creek,Racosperma disparrimum,0.6097,0.14108221185389624,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,3,Acacia_disparrima,subsp.,6.2,42.5,10.5,3.8112479865505784,NA,3.8112479865505784,station_creek,Racosperma disparrimum,0.6097,0.015092861171542323,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,4,Corymbia_clarksoniana,NA,11,48,16.7,6.919828515180993,"check id, no height",6.919828515180993,station_creek,Corymbia clarksoniana,0.8453,0.0919291549888854,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,5,Callitris_intratropica,NA,21.9,49.7,22.8,6,NA,9.28570158210886,station_creek,Callitris columellaris,0.5530328371730769,0.0970743302458786,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,6,Terminalia_subacroptera,NA,26.5,48,10.5,4.5,NA,3.8112479865505784,station_creek,Terminalia subacroptera,0.654,0.019007100533463654,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,7,Eucalyptus_cullenii,NA,47,45,45.3,14,NA,12.001297171402896,station_creek,Eucalyptus cullenii,0.9771175,1.4775010080904998,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,8,Eucalyptus_cullenii,NA,5,35,46.2,15,NA,12.016397909272861,station_creek,Eucalyptus cullenii,0.9771175,1.6422880691463773,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,9,Corymbia_clarksoniana,NA,2.5,31,22.8,8,NA,9.28570158210886,station_creek,Corymbia clarksoniana,0.8453,0.19448330267354946,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,10,Corymbia_clarksoniana,NA,12.9,39,35.2,12.5,NA,11.557424934109335,station_creek,Corymbia clarksoniana,0.8453,0.7017996126074018,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,11,Corymbia_clarksoniana,NA,15.8,37.2,21.1,10.5,NA,8.7172099822226,station_creek,Corymbia clarksoniana,0.8453,0.21800064621526086,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,12,Corymbia_clarksoniana,NA,20.5,31,14.2,5,NA,5.718178120082107,station_creek,Corymbia clarksoniana,0.8453,0.048779713453639593,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,13,Corymbia_clarksoniana,NA,29.3,29.5,16.2,4,NA,6.688356713454342,station_creek,Corymbia clarksoniana,0.8453,0.050741293287421836,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,14,Terminalia_subacroptera,NA,46,24.9,43.4,11,NA,11.9608572756563,station_creek,Terminalia subacroptera,0.654,0.7257685742052338,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,15,Terminalia_subacroptera,NA,37.5,22.2,16.1,5.5,NA,6.641481156406993,station_creek,Terminalia subacroptera,0.654,0.053252137112602425,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,16,Larsenaikia_ochreata,NA,35.5,23,12.1,3.5,NA,4.644288526065775,station_creek,Larsenaikia ochreata,0.6663,0.01997672338870994,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,17,Eucalyptus_cullenii,NA,28.5,24.6,24.3,8,NA,9.728087473321368,station_creek,Eucalyptus cullenii,0.9771175,0.25370113262142585,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,18,Corymbia_clarksoniana,NA,28,26,21,9,NA,8.681526616382207,station_creek,Corymbia clarksoniana,0.8453,0.18581913106414233,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,19,Santalum_acuminatum,NA,26.3,26.5,24.1,7,NA,9.672254023535961,station_creek,Santalum acuminatum,0.6768730000000001,0.15314507558904905,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,20,Eucalyptus_cullenii,NA,18.3,24.8,24.5,15,NA,9.782965919771966,station_creek,Eucalyptus cullenii,0.9771175,0.4761243559879024,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,21,Corymbia_clarksoniana,NA,13,23.1,17.8,9.5,NA,7.41095937486756,station_creek,Corymbia clarksoniana,0.8453,0.1418586281316568,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,22,Larsenaikia_ochreata,NA,6,16.7,11.4,4.5,NA,4.279991757008035,station_creek,Larsenaikia ochreata,0.6663,0.02272639157190638,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,23,Eucalyptus_cullenii,NA,6.5,14.6,43,16.5,termite nest,11.950616838081528,station_creek,Eucalyptus cullenii,0.9771175,1.5667434493467203,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,24,Santalum_acuminatum,NA,6.5,11.6,13.7,5,NA,5.466409064922514,station_creek,Santalum acuminatum,0.6768730000000001,0.03661536381505417,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,25,Corymbia_clarksoniana,NA,13.1,11.9,15.7,12,NA,6.452121801714172,station_creek,Corymbia clarksoniana,0.8453,0.1394616149531058,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
2018,26,Brachychiton_diversifolius,subsp.,17.9,13.3,39.3,13,NA,11.818153524239571,station_creek,Brachychiton diversifolius,0.38722500000000004,0.4220173455862597,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.611817,145.240833,1129
